Undergraduate Major,Starting Median Salary,Mid-Career Median Salary
Petroleum Engineering,97500.0,212500.0
Operations Research & Industrial Engineering,98300.0,191800.0
Interaction Design,74700.0,173600.0
Applied Economics and Management,76500.0,164400.0
Building Science,69000.0,163100.0
Actuarial Mathematics,70700.0,160000.0
Operations Research,92200.0,160000.0
Systems Engineering,87000.0,159100.0
Optical Science & Engineering,79600.0,158300.0
Information & Computer Science,76000.0,157800.0
Aeronautics & Astronautics,88200.0,156900.0
Aerospace Studies,62600.0,154300.0
Pharmacy,69400.0,154000.0
Cognitive Science,78000.0,153800.0
Managerial Economics,74700.0,153300.0
Quantitative Economics,74500.0,152700.0
Econometrics,72000.0,152100.0
Foreign Affairs,62900.0,152000.0
Chemical Engineering,85600.0,151800.0
Public Accounting,69700.0,151200.0
Political Economy,73100.0,150600.0
Corporate Accounting & Finance,76800.0,149600.0
Actuarial Science,76700.0,149000.0
Computer Engineering (CE),89100.0,148500.0
Electrical Power Engineering,84700.0,148300.0
Computer Science (CS) & Engineering,90500.0,148200.0
Marine Transportation Management,78700.0,148000.0
Marine Engineering,87900.0,147500.0
Operations & Information Systems Management,78800.0,147500.0
Electrical & Computer Engineering (ECE),88100.0,147000.0
Entrepreneurship & Marketing,63200.0,145800.0
Astronomy,75300.0,145600.0
Mechatronics,80900.0,144300.0
Computational & Applied Mathematics,85700.0,144100.0
Aeronautical Engineering,84200.0,143400.0
Welding Engineering,86600.0,143300.0
Electrical Engineering (EE),84900.0,143000.0
Electrical & Electronics Engineering (EEE),83900.0,142900.0
Naval Architecture & Marine Engineering,82800.0,142800.0
Instrumentation & Control Engineering,82800.0,141900.0
Construction Engineering Management,78100.0,141800.0
Computer Science (CS) & Mathematics,80300.0,141000.0
Engineering Physics,78600.0,140300.0
Mechanical & Aeronautical Engineering,80900.0,139900.0
Chemical & Biomolecular Engineering,86000.0,139700.0
Computer Science (CS),85400.0,139700.0
Jazz Studies,60000.0,139400.0
Bioscience,59900.0,139300.0
Information Management,67000.0,139000.0
Aerospace Engineering,83500.0,138100.0
Ocean Engineering (OE),78500.0,137800.0
Pharmacology,63500.0,137800.0
Nuclear Engineering,85200.0,137600.0
Bioengineering (BioE),79500.0,137300.0
Applied Mathematics,77200.0,137000.0
Paper Science,84900.0,136500.0
Physician Assistant Studies,109600.0,136500.0
Materials Science,76700.0,136200.0
Engineering,77800.0,135800.0
Industrial & Systems Engineering,82000.0,135700.0
Metallurgical Engineering,90800.0,135500.0
Materials Science & Engineering,81200.0,135300.0
Mining Engineering,87400.0,135200.0
Operations Management & Information Systems,75900.0,134900.0
Business & Information Technology (IT),71400.0,134700.0
Interactive Media Design,59600.0,134400.0
Energy Management,70100.0,134100.0
Physics,75500.0,134100.0
Materials Engineering,81200.0,133900.0
Biomedical Engineering (BME),80300.0,133500.0
Industrial Engineering (IE),80500.0,133400.0
Software Engineering,84200.0,133400.0
Global & International Studies,59400.0,133300.0
Computer & Information Science,72600.0,133100.0
Aeronautical/Aerospace Engineering Technology,82400.0,132800.0
Economics and Mathematics,77100.0,132700.0
Industrial Hygiene,65100.0,132700.0
Engineering Mechanics,82800.0,131900.0
Business & Economics,66500.0,131700.0
Astrophysics,78600.0,131200.0
Electronics Engineering,77700.0,130900.0
Telecommunications Engineering,78000.0,130900.0
International Business & Finance,69000.0,130800.0
International Economics,66200.0,130600.0
Business Analysis,71000.0,130300.0
Management Science,73000.0,130300.0
Mechanical Engineering (ME),79600.0,130300.0
Economics,70500.0,130200.0
Ceramic Engineering,76400.0,129900.0
Management Information Systems (MIS),73900.0,129500.0
Industrial Distribution,71400.0,129200.0
Structural Engineering (SE),76200.0,128900.0
Accounting & Taxation,61900.0,128600.0
Integrated Science & Technology,71600.0,128400.0
Automotive Engineering,75700.0,128300.0
Mathematics & Statistics,71800.0,128100.0
Packaging Science,78600.0,127600.0
Construction Project Management,69400.0,127400.0
Plastics Engineering,79200.0,127200.0
Information & Decision Sciences,73200.0,126800.0
Applied Physics,75800.0,126500.0
Building Construction (BC),73200.0,125900.0
Petroleum Land Management,66600.0,125900.0
Industrial Engineering & Management,74800.0,125700.0
Accounting & Economics,74500.0,125400.0
Psychobiology,58600.0,125400.0
Finance & Economics,70300.0,124800.0
Medicine,88700.0,124700.0
Asian Studies,53100.0,123800.0
Marketing & International Business,59600.0,123500.0
Government,63500.0,123400.0
Business Computer Information Systems (BCIS),74200.0,123300.0
Finance & Real Estate,73500.0,123300.0
Biochemistry & Molecular Biology,61700.0,123100.0
Environmental Health & Safety Management,67500.0,123100.0
Financial Economics,70500.0,123100.0
Business Economics,66500.0,122800.0
Nuclear Engineering Technology (NET),92500.0,122800.0
Mathematics,72300.0,122700.0
Civil Engineering (CE),73400.0,122600.0
Business Information Systems,73800.0,122200.0
Information Systems Management,69500.0,122200.0
Polymer Science & Engineering,82900.0,122200.0
Information Security & Assurance,70000.0,122000.0
Applied Economics,69200.0,122000.0
International Management,63100.0,121900.0
Political Communication,56000.0,121900.0
Economics & Political Science,64200.0,121900.0
Accounting & Computer Systems,75400.0,121800.0
Civil & Environmental Engineering,73500.0,121800.0
Construction Management,71800.0,121800.0
Construction Science,77500.0,121800.0
Control Engineering,77700.0,121700.0
Russian Studies,56500.0,121600.0
Cybersecurity,72600.0,121500.0
Robotics & Automation,72700.0,121200.0
Computer Management Information Systems (CMIS),63900.0,121100.0
Aeronautical Science,64200.0,121000.0
Manufacturing Engineering,77500.0,121000.0
Information Systems (IS),73000.0,120600.0
Engineering Management,77400.0,120500.0
Computing & Information Systems (CIS),68900.0,120000.0
Mechanical,79800.0,119900.0
Business Logistics & Transportation,64700.0,119800.0
Biosystems Engineering,72600.0,119500.0
Agricultural Economics,61700.0,119400.0
Data Processing,73700.0,119300.0
Food Marketing,65000.0,119300.0
Geophysics,62700.0,119300.0
Management & Finance,64100.0,118800.0
Business Finance,65200.0,118600.0
Construction Engineering,75700.0,118600.0
Organic Chemistry,50600.0,118600.0
Real Estate,69400.0,118500.0
Finance,68500.0,118400.0
Plastics Engineering Technology,73600.0,118400.0
European Studies,60900.0,118100.0
Safety Science,70000.0,118100.0
Computer Science & Information Technology,73500.0,118000.0
Japanese Language,59900.0,117900.0
Information Sciences and Technology,72900.0,117800.0
International Business,63100.0,117800.0
Architectural Engineering,74600.0,117700.0
International Marketing,66700.0,117600.0
Molecular Biology,61700.0,117600.0
Building Construction Management,70500.0,117500.0
Business Operations,71300.0,117400.0
Computer Information Systems (CIS),69400.0,117300.0
Electrical Engineering Technology (EET),74000.0,117300.0
Government & International Politics (GVIP),58100.0,117200.0
